Nama,Harga,Toko,Query
GAINWARD PHOENIX RTX 3090 24GB GDDR6X 384bit Original,Rp32.899.000,WINS OFFICIAL STORE,rtx 3090
PC Rakitan Gaming Design | Core i9-12900K / 32GB DDR5 / RTX 3090 Ti,Rp71.615.000,OneLine Game PC,rtx 3090
PC Rakitan AMD Ryzen 9 5900X - 64GB - SSD 1TB - VGA RTX 3090 - 24GB,Rp75.750.000,STAR17 COM,rtx 3090
AMAO Cetakan Stencil Plat 70X RTX3080 RTX3090 GA102 RTX 3080 3090,Rp115.000,Home Business Jbu,rtx 3090
Dus / Box VGA RTX 3090 24GB MSI Ventus 3X Kardus,Rp178.000,Dunia.Koleksi,rtx 3090
VGA COVER ASUS RTX 3090 CUSTOM LOGO CUSTOM VGA,Rp160.000,NGR PC MODIFIKASI GARUT,rtx 3090
Colorful iGame GeForce RTX 3090 Kudan-V 24GB GDDR6X 384-bit - VGA Card,Rp35.000.000,JnJ Online,rtx 3090
ZOTAC GAMING GeForce RTX 3090 Trinity 24GB GDDR6X | VGA 2ND SECOND,Rp12.999.999,RedTeknologi-Redcom,rtx 3090
Vga Galax Nvidia Geforce Rtx 3090 24gb Ddr6x Hof Lab Edition -Original,Rp32.459.000,Das Livia Computer,rtx 3090
Ultimate PC | Intel 10980XE / X299 / 128GB RAM / RTX 3090 24GB,Rp98.499.000,OneLine Game PC,rtx 3090
"Lenovo LOQ 15ARP9 1YID AMD Ryzen 7 R7 7435HS ram 12GB ssd 512GB RTX 4060 15.6"" 144Hz W11 OHS",Rp16.599.000,Super Laris IT,rtx 4060
MSI GeForce RTX 4060 VENTUS 2X BLACK 8GB OC,Rp5.522.000,Redcomp,rtx 4060
MSI GeForce  RTX 4060 Ti GAMING X SLIM 16GB,Rp9.362.000,Redcomp,rtx 4060
Laptop Axioo Pongo 760 V2 I7-13620H 16GB 512GB RTX 4060 8GB WIN 11,Rp17.999.000,BintangRayaKomputer,rtx 4060
ASUS TUF Gaming GeForce RTX 4060 TI OC Edition 8GB GDDR6,Rp8.479.000,ASUS COMPONENT,rtx 4060
Lenovo LOQ Gaming 15ARP9 AMD Ryzen 7 7435HS 12GB 512GB SSD RTX 4060 8GB WINDOWS 11 OHS,Rp18.560.000,Lenovo Autorized Cirebon,rtx 4060
J&J MSI PC - i5 12400F/32GB/RTX 4060/1TB NVMe - Gaming PC Rakitan,Rp14.399.000,JnJ Online,rtx 4060
J&J Intel PC - i5 12400F/16GB/RTX 4060 Ti 16GB/1TB NVMe - Gaming PC Rakitan,Rp15.680.000,JnJ Online,rtx 4060
J&J Intel PC - i5 12400F/16GB/RTX 4060/256GB - Gaming PC Rakitan,Rp11.850.000,JnJ Online,rtx 4060
"Lenovo Yoga Pro 7 14IMH9 15ID, Ultra 9-185H/32GB/1TB SSD/RTX 4060/Win11HSL+OHS/3Y+ADP/14,5"" 3K IPS",Rp29.999.000,Lenovo Authorized Medan Barat,rtx 4060
PC Gaming Cooler Master Sneaker X | i7-14700KF | D5 2x16GB | 2TB SSD NVME | RTX 4070 SUPER - CHASSIS ONLY,Rp48.499.000,vectacom,rtx 4070
EZDIY-FAB EZ DIY PCIe 5.0 Adapter - 600W 12+4pin 16pin 12VHPWR GPU Power Connector 180 Degree Right Angle - Compatible with RTX 4070 Ti 4080 4090 Graphics Cards,Rp188.000,STAR17 COM,rtx 4070
EZDIY-FAB EZ DIY PCIe 5.0 Adapter - 600W 12+4pin 16pin 12VHPWR GPU Power Connector 90 Degree Right Angle - Compatible with RTX 4070 Ti 4080 4090 Graphics Cards,Rp210.000,STAR17 COM,rtx 4070
ASUS ROG NUC 970 NUC14SRKU9 - Ultra 9 185H/32GB/1TB SSD/RTX 4070/Win11 Home - Gaming Mini PC,Rp35.997.000,JnJ Online,rtx 4070
ASUS NUC 14 Performance | NUC14SRKU9 with Core Ultra 9 185H 32GB 1TB SSD RTX 4070 W11HOME,Rp35.900.000,Julyaugustshop,rtx 4070
PNY GeForce RTX 4070 Ti 12GB XLR8 Gaming Verto TF OC,Rp12.999.000,Julyaugustshop,rtx 4070
MSI GeForce RTX 4070 GAMING X SLIM 12GB GDDR6X,Rp11.210.000,Julyaugustshop,rtx 4070
MSI GeForce RTX 4070 SUPER 12G GAMING X SLIM 12GB GDDR6X,Rp12.869.000,Julyaugustshop,rtx 4070
VGA ASUS GeForce RTX 4070 Ti TUF GAMING 12GB GDDR6X | 4070Ti DDR6X,Rp18.789.000,RedTeknologi-Redcom,rtx 4070
ZOTAC VGA GAMING GEFORCE RTX 4070 TI SUPER AMP HOLO 16GB GDDR6X,Rp16.099.000,Collins Official,rtx 4070
ZOTAC VGA GAMING GEFORCE RTX 4080 SUPER AMP 16GB GDDR6X - VGA CARD,Rp19.550.000,ProStoreComputer,rtx 4080
EZDIY-FAB EZ DIY PCIe 5.0 Adapter - 600W 12+4pin 16pin 12VHPWR GPU Power Connector 180 Degree Right Angle - Compatible with RTX 4070 Ti 4080 4090 Graphics Cards,Rp188.000,STAR17 COM,rtx 4080
EZDIY-FAB EZ DIY PCIe 5.0 Adapter - 600W 12+4pin 16pin 12VHPWR GPU Power Connector 90 Degree Right Angle - Compatible with RTX 4070 Ti 4080 4090 Graphics Cards,Rp210.000,STAR17 COM,rtx 4080
Palit GeForce RTX 4080 SUPER 16GB Infinity 3 OC,Rp17.600.000,hans computer,rtx 4080
PC Rakitan Intel i9 14900K / RTX 4080 Super 16GB GIGABYTE,Rp61.890.000,OneLine Game PC,rtx 4080
PC Gaming | Intel Core i9-13900K / RTX 4080 16GB / 32GB DDR5 / 3TB SSD,Rp71.610.000,OneLine Game PC,rtx 4080
PC Rakitan Gaming | Ryzen 9 5900X / RTX 4080 16GB / 32GB DDR4 / 1TB,Rp65.270.000,OneLine Game PC,rtx 4080
MSI GeForce RTX 5080 16GB VENTUS 3X OC GDDR7 Penerus RTX 4080 Nvidia VGA Card,Rp21.847.000,YOUNGS COMPUTER,rtx 4080
