Nama,Harga,Toko
SPARKLE Intel ARC B570 GUARDIAN 10GB OC GDDR6,Rp 4.270.000,klikgalaxy
VenomRX Geforce GT 730 4GB GDDR3,Rp 470.000,klikgalaxy
VenomRX Geforce GTX 1650M 4GB GDDR6,Rp 1.590.000,klikgalaxy
VenomRX Geforce GTX 750 Ti 4GB GDDR5,Rp 940.000,klikgalaxy
VenomRX Radeon RX 580 8GB GDDR5,Rp 1.430.000,klikgalaxy
VenomRX Radeon RX 590 8GB GDDR5,Rp 1.570.000,klikgalaxy
XFX Radeon RX 9060 XT SWIFT 16GB OC GDDR6 RDNA 4,Rp 6.470.000,klikgalaxy
XFX Radeon RX 9060 XT SWIFT Triple Fan 16GB OC GDDR6 RDNA 4,Rp 6.700.000,klikgalaxy
XFX Radeon RX 9060 XT SWIFT White 16GB OC GDDR6 RDNA 4,Rp 6.570.000,klikgalaxy
XFX Radeon RX 9060 XT SWIFT White 8GB OC GDDR6 RDNA 4,Rp 5.520.000,klikgalaxy
XFX Radeon RX 9060 XT SWIFT White Triple Fan 16GB OC GDDR6 RDNA 4,Rp 6.800.000,klikgalaxy
XFX Radeon RX 9070 SWIFT WHITE 16GB OC GDDR6 RDNA 4,Rp 10.550.000,klikgalaxy
XFX Radeon RX 9070 XT SWIFT 16GB GDDR6 RDNA 4,Rp 11.990.000,klikgalaxy
XFX Radeon RX 9070 XT SWIFT 16GB WHITE GDDR6 RDNA 4,Rp 12.090.000,klikgalaxy
ZOTAC GeForce RTX 5050 Twin Edge 8GB OC GDDR6 - Blackwell,Rp 4.650.000,klikgalaxy
ZOTAC GeForce RTX 5060 Ti Twin Edge 16GB OC GDDR7 - Blackwell,Rp 7.790.000,klikgalaxy
ZOTAC GeForce RTX 5060 Ti Twin Edge 8GB GDDR7 - Blackwell,Rp 6.640.000,klikgalaxy
ZOTAC GeForce RTX 5060 Ti Twin Edge WHITE 16GB OC GDDR7 - Blackwell,Rp 7.990.000,klikgalaxy
ZOTAC GeForce RTX 5060 Twin Edge OC White 8GB GDDR7 - Blackwell,Rp 5.540.000,klikgalaxy
ZOTAC GeForce RTX 5070 AMP White 12GB GDDR7 - Blackwell,Rp 10.650.000,klikgalaxy
ZOTAC GeForce RTX 5080 AMP Extreme INFINITY 16GB GDDR7 - Blackwell,Rp 20.250.000,klikgalaxy
,,klikgalaxy
